user_id,watch_time_hours,avg_session_mins,top_genres,num_sessions,completion_rate,weekend_watch_ratio
USR-7272,34.1,35.0,"[""Adventure"", ""Documentary"", ""Romance"", ""Crime"", ""Sci-Fi""]",27,0.753,0.489
USR-5443,2.63,15.56,"[""Comedy""]",25,0.66,0.521
USR-7729,26.22,62.77,"[""Sci-Fi"", ""Mystery"", ""Crime"", ""Romance"", ""Adventure""]",32,0.791,0.524
USR-5534,11.23,29.42,"[""Animation""]",10,0.723,0.356
USR-1034,23.07,99.07,"[""Action"", ""Sci-Fi""]",30,0.754,0.387
USR-10850,3.23,31.6,"[""Family""]",4,0.273,0.762
USR-5429,10.25,25.13,"[""Animation"", ""Comedy""]",8,0.684,0.301
USR-1569,37.49,97.1,[],37,0.729,0.536
USR-2510,39.52,92.86,"[""Sci-Fi"", ""Action"", ""Adventure""]",21,1.0,0.435
USR-8788,29.45,40.51,"[""Drama"", ""Mystery"", ""Documentary"", ""Romance"", ""Crime""]",27,0.829,0.431
USR-1304,51.6,84.01,"[""Action"", ""Thriller""]",29,0.801,0.382
USR-8549,21.07,42.92,"[""Crime"", ""Sci-Fi"", ""Documentary"", ""Adventure""]",29,0.742,0.488
USR-6530,,26.19,"[""Comedy"", ""Animation""]",24,0.576,0.383
USR-2122,43.49,69.3,"[""Sci-Fi"", ""Thriller"", ""Action""]",16,0.746,0.402
USR-6205,7.45,26.73,"[""Animation"", ""Comedy""]",19,0.548,0.244
USR-8289,29.37,49.12,"[""Drama"", ""Documentary"", ""Romance"", ""Sci-Fi""]",28,0.781,0.558
USR-6909,21.76,59.88,"[""Adventure"", ""Mystery"", ""Sci-Fi""]",30,0.888,0.494
USR-10842,5.43,38.56,"[""Drama""]",8,0.347,0.749
USR-3376,36.17,104.31,"[""Thriller"", ""Action"", ""Sci-Fi""]",29,0.863,0.337
USR-3448,40.08,103.56,"[""Sci-Fi"", ""Thriller"", ""Crime""]",32,0.709,0.335
USR-6454,7.64,12.31,"[""Comedy""]",8,0.578,0.385
USR-1316,37.7,113.28,"[""Sci-Fi"", ""Action""]",22,0.826,0.367
USR-9616,2.67,29.35,"[""Comedy"", ""Family""]",1,0.58,0.718
USR-4527,9.14,19.28,"[""Comedy""]",28,0.61,0.317
USR-6548,9.19,23.52,"[""Comedy""]",21,0.567,0.322
USR-9053,17.45,62.89,"[""Mystery"", ""Crime"", ""Sci-Fi"", ""Documentary"", ""Romance""]",32,0.825,0.491
USR-1097,46.27,108.12,"[""Thriller"", ""Sci-Fi""]",25,0.955,0.419
USR-8530,30.65,48.89,"[""Crime"", ""Drama"", ""Sci-Fi"", ""Documentary"", ""Romance""]",29,0.817,0.543
USR-2057,32.66,82.24,"[""Sci-Fi"", ""Action""]",22,0.765,0.45
USR-10677,2.84,24.6,"[""Drama"", ""Comedy""]",6,0.163,0.772
USR-9569,5.36,44.92,"[""Comedy"", ""Drama""]",5,0.365,0.643
USR-4820,8.1,36.59,"[""Comedy"", ""Animation""]",21,0.612,0.36
USR-9536,2.16,43.14,"[""Comedy""]",6,0.405,0.662
USR-5112,10.68,28.14,"[""Animation""]",21,0.702,0.596
USR-7740,25.02,64.06,"[""Romance"", ""Mystery"", ""Drama""]",21,0.707,0.471
USR-2497,36.39,112.55,"[""Action"", ""Sci-Fi""]",24,0.805,0.52
USR-1577,44.46,66.75,"[""Thriller"", ""Action""]",26,0.926,0.452
USR-3271,52.44,87.72,"[""Sci-Fi"", ""Thriller"", ""Action"", ""Adventure""]",22,0.844,0.51
USR-2442,31.42,73.26,"[""Thriller"", ""Sci-Fi"", ""Action""]",19,0.782,0.347
USR-6015,10.29,20.18,"[""Animation""]",11,0.642,0.536
USR-6917,14.56,41.44,"[""Drama"", ""Sci-Fi"", ""Mystery"", ""Romance"", ""Documentary"", ""Silent Cinema""]",31,0.875,0.737
USR-1736,50.1,98.17,"[""Action"", ""Thriller""]",19,0.902,0.257
USR-2072,44.94,120.4,"[""Thriller"", ""Sci-Fi""]",23,0.737,0.599
USR-3803,33.07,105.29,"[""Action"", ""Sci-Fi"", ""Thriller""]",28,0.868,0.395
USR-9161,30.66,43.27,"[""Sci-Fi"", ""Romance"", ""Crime""]",24,0.78,0.367
USR-6921,28.03,64.87,"[""Adventure"", ""Documentary"", ""Crime"", ""Sci-Fi""]",30,0.778,0.372
USR-6567,3.73,27.4,"[""Animation"", ""Romance""]",20,0.693,0.34
USR-10670,3.91,33.54,"[""Family"", ""Comedy""]",9,0.412,0.77
USR-8471,17.09,61.6,"[""Drama"", ""Documentary"", ""Sci-Fi"", ""Mystery"", ""Romance""]",34,0.741,0.487
USR-6268,6.24,12.23,"[""Animation"", ""Comedy""]",14,0.698,0.529
USR-7655,27.51,59.23,"[""Mystery"", ""Documentary"", ""Romance"", ""Crime"", ""Adventure""]",31,0.835,0.602
USR-10812,2.23,35.25,"[""Drama""]",2,0.457,0.694
USR-6401,11.46,29.59,"[""Comedy"", ""Animation""]",23,0.701,0.331
USR-9674,3.65,31.12,"[""Comedy"", ""Family""]",6,0.604,0.795
USR-5794,2.78,22.46,"[""Comedy""]",19,0.708,0.375
USR-9696,2.08,36.47,"[""Comedy""]",2,0.523,0.702
USR-1170,34.26,93.02,"[""Action"", ""Sci-Fi"", ""Thriller""]",29,0.856,0.543
USR-5575,8.33,24.42,"[""Comedy""]",21,0.67,0.358
USR-10497,1.88,35.56,"[""Drama""]",6,0.41,0.884
USR-1533,39.23,91.42,"[""Action"", ""Thriller""]",33,0.837,0.276
USR-9292,28.99,73.26,"[""Adventure"", ""Drama"", ""Crime"", ""Mystery"", ""Sci-Fi""]",8,0.764,0.228
USR-1719,40.29,74.45,"[""Thriller"", ""Action""]",25,0.897,0.441
USR-9655,4.61,27.93,"[""Family""]",3,0.181,0.781
USR-6808,7.24,20.02,"[""Animation"", ""Comedy""]",21,0.685,0.255
USR-4470,7.96,27.68,"[""Animation"", ""Comedy""]",14,0.5,0.427
USR-10838,3.42,39.06,"[""Family""]",9,0.274,0.837
USR-1484,43.39,90.2,"[""Sci-Fi"", ""Action"", ""Thriller"", ""Avant-Garde Doc""]",27,0.946,0.498
USR-9087,21.96,61.51,"[""Mystery"", ""Romance"", ""Documentary""]",36,0.88,0.426
USR-9684,2.11,44.62,"[""Drama""]",7,0.509,0.54
USR-3040,42.84,88.46,"[""Thriller"", ""Action"", ""Adventure""]",17,0.839,0.323
USR-5831,10.21,21.34,"[""Comedy"", ""Animation""]",20,0.796,0.511
USR-5962,6.9,13.64,"[""Comedy""]",23,0.757,0.336
USR-10207,2.79,51.98,"[""Family""]",6,0.31,0.583
USR-1032,47.01,86.22,"[""Thriller"", ""Sci-Fi"", ""Action"", ""Crime""]",28,0.691,0.463
USR-1036,51.83,88.68,"[""Sci-Fi"", ""Thriller""]",36,0.848,0.327
USR-6975,23.41,71.22,"[""Drama"", ""Documentary"", ""Sci-Fi"", ""Adventure""]",37,0.795,0.425
USR-2189,48.71,98.67,"[""Sci-Fi"", ""Thriller"", ""Action""]",34,0.816,0.286
USR-1851,40.7,93.16,"[""Sci-Fi"", ""Action"", ""Thriller""]",33,0.767,0.405
USR-10692,3.06,28.17,"[""Family""]",7,0.7,0.79
USR-10314,2.64,38.36,"[""Drama""]",5,0.376,0.86
USR-9564,4.05,35.66,"[""Family""]",7,0.24,0.722
USR-4059,35.7,107.78,"[""Sci-Fi"", ""Thriller"", ""Action""]",20,0.902,0.499
USR-7313,29.99,62.37,"[""Sci-Fi"", ""Documentary"", ""Mystery"", ""Crime""]",35,0.925,0.401
USR-2218,24.8,100.65,"[""Action"", ""Sci-Fi"", ""Thriller""]",27,0.769,0.267
USR-5318,8.182892802011965,25.56,"[""Comedy"", ""Animation""]",24,0.662,0.429
USR-6121,4.46,20.35,"[""Animation"", ""Comedy""]",31,0.748,0.362
USR-8856,25.98,54.11,"[""Sci-Fi"", ""Adventure"", ""Documentary"", ""Crime"", ""Romance""]",37,0.76,0.571
USR-3710,39.14,100.23,"[""Action"", ""Thriller""]",30,0.761,0.41
USR-1252,22.71,100.93,"[""Action"", ""Thriller"", ""Adventure""]",28,0.706,0.366
USR-9577,4.3,31.66,"[""Drama"", ""Comedy""]",6,0.555,0.866
USR-2598,28.05,80.09,"[""Thriller"", ""Action""]",28,0.911,0.341
USR-4937,5.4,23.22,"[""Animation"", ""Comedy""]",20,0.696,0.365
USR-5906,6.84,14.28,"[""Animation"", ""Comedy""]",18,0.534,0.406
USR-3886,48.04,73.36,"[""Action"", ""Sci-Fi""]",34,0.75,0.323
USR-5939,8.58,31.09,"[""Comedy"", ""Animation""]",21,0.822,0.21
USR-3168,35.01,80.71,"[""Action"", ""Sci-Fi"", ""Thriller""]",29,0.85,0.455
USR-9676,0.69,32.83,"[""Family"", ""Drama""]",5,0.334,0.781
USR-2531,41.17,63.81,"[""Action"", ""Thriller"", ""Sci-Fi""]",25,0.761,0.437
USR-6304,10.76,26.37,"[""Animation"", ""Comedy""]",21,0.673,0.265
USR-5623,11.56,21.53,,10,0.715,0.163
USR-1081,61.81,94.55,"[""Thriller"", ""Action"", ""Sci-Fi""]",9,0.819,0.553
USR-4317,9.24,24.98,"[""Animation"", ""Comedy""]",29,0.791,0.444
USR-9565,6.79,53.07,"[""Family"", ""Comedy""]",5,0.247,0.603
USR-8031,20.86,44.91,"[""Sci-Fi"", ""Romance"", ""Adventure"", ""Drama"", ""Documentary""]",15,0.746,0.172
USR-6943,27.79,58.28,"[""Documentary"", ""Romance"", ""Adventure""]",23,0.763,0.483
USR-4699,6.22,-29.86762064964671,"[""Animation"", ""Comedy""]",22,0.732,0.285
USR-2733,40.65,72.28,"[""Action"", ""Thriller""]",31,0.946,0.502
USR-1451,40.99,85.15,"[""Action"", ""Sci-Fi"", ""Adventure""]",15,0.942,0.456
USR-1714,48.45,89.8,"[""Action"", ""Sci-Fi"", ""Thriller""]",36,0.886,0.422
USR-4446,9.59,19.45,"[""Animation""]",23,0.732,0.383
USR-5210,6.26,24.97,"[""Comedy""]",22,0.474,0.342
USR-3305,51.11,87.22,"[""Sci-Fi"", ""Action""]",26,0.797,0.397
USR-7061,27.87,67.65,"[""Documentary"", ""Adventure"", ""Crime"", ""Sci-Fi"", ""Mystery""]",28,0.788,0.417
USR-5197,8.19,18.81,"[""Animation"", ""Comedy""]",29,0.575,0.222
USR-10832,3.72,36.53,"[""Family"", ""Drama""]",8,0.651,0.999
USR-8108,28.49,65.95,"[""Documentary"", ""Crime"", ""Sci-Fi"", ""Drama"", ""Mystery""]",26,0.729,0.646
USR-10362,5.56,53.95,"[""Family""]",4,0.311,0.77
USR-6332,8.39,27.99,"[""Comedy""]",8,0.569,0.491
USR-4785,9.36,30.16,"[""Animation"", ""Comedy"", ""Romance""]",21,0.76,0.219
USR-10454,5.7,30.15,"[""Comedy""]",8,0.251,0.718
USR-4046,26.38,67.25,"[""Action"", ""Sci-Fi"", ""Adventure""]",18,0.981,0.445
USR-7479,23.52,53.13,"[""Documentary"", ""Romance"", ""Sci-Fi"", ""Crime""]",11,0.636,0.613
USR-4583,10.55,24.2,"[""Animation""]",20,0.639,0.496
USR-10621,1.79,45.44,"[""Comedy"", ""Drama""]",4,0.475,0.635
USR-7650,25.1,51.49,"[""Mystery"", ""Documentary"", ""Drama"", ""Romance""]",33,0.653,0.4
USR-5033,13.49,23.79,"[""Comedy"", ""Animation""]",21,0.514,0.519
USR-9294,25.39,44.47,"[""Mystery"", ""Drama"", ""Adventure"", ""Crime"", ""Documentary""]",24,0.792,0.43
USR-5103,3.49,19.88,"[""Comedy""]",20,0.566,0.262
USR-8021,30.05,58.35,"[""Crime"", ""Documentary"", ""Adventure"", ""Mystery""]",24,0.755,0.348
USR-7028,29.16,70.47,"[""Adventure"", ""Mystery"", ""Sci-Fi"", ""Documentary"", ""Crime""]",28,0.738,0.543
USR-3336,41.41,122.77,"[""Sci-Fi"", ""Thriller"", ""Action"", ""Adventure""]",18,0.643,0.589
USR-2181,41.37,80.58,"[""Action"", ""Thriller"", ""Sci-Fi""]",26,0.915,0.369
USR-9693,1.48,34.28,"[""Comedy""]",3,0.41,0.655
USR-1519,45.57,80.17,"[""Action"", ""Sci-Fi""]",16,0.843,0.411
USR-8617,28.15,64.93,"[""Sci-Fi"", ""Adventure"", ""Documentary""]",26,0.75,0.534
USR-2209,37.03,109.04,"[""Thriller"", ""Action""]",25,0.978,0.353
USR-3222,62.12,90.18,"[""Thriller"", ""Action""]",25,1.0,0.533
USR-1347,21.76,96.26,"[""Action"", ""Thriller"", ""Sci-Fi""]",31,0.912,0.34
USR-5221,11.01,26.22,"[""Comedy"", ""Animation""]",22,0.824,0.252
USR-7885,23.21,63.52,"[""Romance"", ""Crime"", ""Sci-Fi"", ""Documentary"", ""Drama""]",24,0.844,0.413
USR-2112,28.66,110.14,"[""Sci-Fi"", ""Action"", ""Thriller""]",27,0.744,0.373
USR-7221,20.44,72.57,"[""Sci-Fi"", ""Adventure"", ""Romance""]",26,0.755,0.622
USR-2570,44.83,107.08,"[""Action"", ""Thriller""]",18,0.816,0.439
USR-9948,2.27,15.36,"[""Family""]",3,0.612,0.688
USR-2693,40.89,90.13,"[""Sci-Fi"", ""Action""]",23,0.721,0.43
USR-8826,16.51,70.08,"[""Sci-Fi"", ""Romance"", ""Mystery"", ""Documentary"", ""Adventure""]",32,0.667,0.535
USR-4280,10.09,25.32,"[""Comedy"", ""Animation""]",21,0.745,0.412
USR-6969,29.32,54.75,"[""Documentary"", ""Adventure"", ""Mystery""]",28,0.966,0.598
USR-2884,19.1,100.4,"[""Sci-Fi"", ""Action""]",23,0.803,0.391
USR-5681,12.46,22.85,"[""Animation""]",23,0.752,0.318
USR-6372,9.37,12.16,"[""Comedy"", ""Animation""]",24,0.495,0.386
USR-2409,55.96,90.27,"[""Thriller"", ""Action"", ""Crime""]",26,0.821,0.574
USR-8896,19.79,57.92,"[""Drama"", ""Romance"", ""Adventure"", ""Documentary""]",25,0.824,0.513
USR-10267,2.21,29.05,"[""Drama""]",3,0.325,1.0
USR-1040,33.33,74.66,"[""Thriller"", ""Action"", ""Crime""]",20,1.0,0.416
USR-1795,44.48,94.4,"[""Action"", ""Thriller""]",31,0.753,0.467
USR-10953,2.0265000729407636,27.46,"[""Family""]",9,0.393,0.7
USR-4853,11.02,30.39,"[""Animation""]",13,0.566,0.5
USR-6290,11.0,16.2,"[""Animation"", ""Comedy""]",19,0.464,0.385
USR-1759,34.2,78.8,"[""Sci-Fi"", ""Thriller"", ""Avant-Garde Doc""]",32,0.832,0.439
USR-1322,47.75,100.7,"[""Thriller"", ""Sci-Fi""]",24,0.906,0.427
USR-4054,31.51,72.28,"[""Sci-Fi"", ""Thriller""]",20,0.84,0.194
USR-2225,38.28,96.37,"[""Sci-Fi"", ""Thriller"", ""Crime""]",17,0.947,0.557
USR-5804,9.62,18.49,"[""Animation""]",14,0.725,0.305
USR-2982,35.61,96.11,"[""Sci-Fi"", ""Thriller"", ""Action""]",5,0.915,0.31
USR-6886,7.06,23.76,"[""Animation"", ""Comedy""]",22,0.594,0.23
USR-1260,32.04,101.18,"[""Thriller"", ""Action"", ""Sci-Fi""]",26,0.849,0.381
USR-8382,22.35,85.7,"[""Drama"", ""Adventure"", ""Crime"", ""Sci-Fi""]",25,0.772,0.64
USR-2419,42.41,82.11,"[""Action"", ""Sci-Fi"", ""Thriller""]",25,0.778,0.402
USR-3997,33.57,88.23,"[""Sci-Fi"", ""Thriller""]",19,0.815,0.428
USR-7022,17.01,65.66,"[""Adventure"", ""Drama"", ""Sci-Fi"", ""Crime"", ""Romance""]",32,0.767,0.545
USR-7943,16.99,75.28,"[""Drama"", ""Adventure"", ""Crime"", ""Sci-Fi"", ""Documentary""]",22,0.716,0.536
USR-1624,,74.2,"[""Action"", ""Sci-Fi""]",17,0.826,0.447
USR-4486,8.2,23.38,"[""Comedy"", ""Animation""]",18,0.541,0.415
USR-5430,7.53,19.64,"[""Comedy"", ""Animation""]",22,0.604,0.463
USR-9004,24.49,65.2,"[""Documentary"", ""Crime"", ""Mystery"", ""Adventure""]",33,0.822,0.546
USR-2077,55.42,86.81,"[""Sci-Fi"", ""Thriller""]",22,0.935,0.227
USR-2069,33.28,82.11,"[""Sci-Fi"", ""Thriller""]",17,0.857,0.312
USR-9328,2.62,37.42,"[""Drama"", ""Family""]",2,0.447,0.582
USR-5884,8.26,21.67,"[""Comedy"", ""Animation""]",19,0.588,0.355
USR-2176,25.57,85.39,"[""Action"", ""Thriller""]",25,0.684,0.205
USR-1296,25.98,65.87,"[""Action"", ""Thriller""]",31,0.795,0.499
USR-6837,8.93,,"[""Comedy"", ""Animation""]",20,0.721,0.393
USR-7262,29.04,65.44,"[""Sci-Fi"", ""Drama"", ""Romance"", ""Adventure""]",34,0.668,0.266
USR-6200,6.33,17.58,"[""Comedy"", ""Animation""]",9,0.494,0.258
USR-6126,8.24,28.06,"[""Animation""]",26,0.69,0.43
USR-6029,8.0,15.96,"[""Comedy"", ""Animation""]",30,0.593,0.347
USR-4150,48.29,93.48,"[""Action"", ""Sci-Fi"", ""Thriller""]",23,0.826,0.452
USR-4525,650.6309799865638,489.1047794244677,"[""Comedy""]",20,0.702,0.24
USR-5788,9.43,,"[""Animation"", ""Comedy""]",21,0.566,0.19
USR-10660,2.35,28.72,"[""Comedy""]",7,0.484,0.723
USR-4383,8.39,16.52,"[""Comedy"", ""Romance""]",10,0.685,0.388
USR-5149,3.84,18.41,"[""Comedy""]",16,0.549,0.286
USR-9764,1.79,24.71,"[""Drama""]",7,0.538,0.924
USR-5697,7.23,27.79,"[""Comedy""]",20,0.591,0.219
USR-6984,34.7,75.6,"[""Mystery"", ""Adventure"", ""Romance"", ""Sci-Fi"", ""Drama""]",20,0.756,0.404
USR-2579,45.5,104.23,"[""Sci-Fi"", ""Action"", ""Thriller""]",30,0.85,0.411
USR-3179,39.87,101.32,"[""Sci-Fi"", ""Thriller"", ""Action"", ""Crime""]",29,0.869,0.462
USR-10501,2.84,22.63,"[""Family"", ""Comedy""]",3,0.495,0.776
USR-8616,36.89,69.13,"[""Mystery"", ""Documentary"", ""Romance""]",30,0.837,0.405
USR-2863,53.84,94.48,"[""Action"", ""Thriller"", ""Sci-Fi""]",14,0.881,0.368
USR-7647,31.2,68.86,"[""Mystery"", ""Romance"", ""Crime"", ""Sci-Fi""]",18,0.759,0.547
USR-9864,3.11,36.62,"[""Drama"", ""Comedy""]",6,0.221,0.792
USR-2965,43.52,84.02,"[""Sci-Fi"", ""Thriller""]",27,0.859,0.403
USR-6065,7.82,26.83,"[""Comedy"", ""Animation""]",20,0.508,0.301
USR-6501,7.34,24.11,"[""Comedy"", ""Animation""]",16,0.705,0.274
USR-9035,27.63,55.36,"[""Crime"", ""Mystery"", ""Drama""]",30,0.781,0.328
USR-3329,37.6,111.12,"[""Thriller"", ""Sci-Fi""]",28,0.88,0.409
USR-9290,23.59,65.15,"[""Drama"", ""Mystery"", ""Sci-Fi"", ""Crime""]",24,0.786,0.44
USR-5634,11.69,29.84,"[""Animation""]",21,0.598,0.393
USR-4258,5.35,27.13,"[""Comedy"", ""Animation""]",23,0.604,0.419
USR-6869,2.52,25.94,"[""Animation""]",23,0.779,0.494
USR-5668,10.27,27.77,"[""Animation"", ""Comedy""]",24,0.77,0.248
USR-1120,40.29,103.49,"[""Action"", ""Sci-Fi"", ""Thriller"", ""Crime""]",28,0.935,0.537
USR-6795,8.25,30.64,"[""Comedy"", ""Animation""]",16,0.73,0.524
USR-8783,22.29,72.63,,33,0.668,0.401
USR-6748,5.26,28.2,"[""Comedy"", ""Animation"", ""Romance""]",17,0.61,0.225
USR-9776,3.08,10.0,"[""Family"", ""Drama""]",6,0.613,0.867
USR-10378,4.616592735182057,15.1,"[""Family""]",6,0.57,0.556
USR-6071,8.53,27.03,"[""Animation"", ""Comedy""]",21,0.824,0.37
USR-1488,43.01,97.06,"[""Thriller"", ""Action"", ""Sci-Fi""]",28,0.832,0.327
USR-7609,20.66,70.93,"[""Sci-Fi"", ""Adventure"", ""Romance"", ""Documentary""]",29,0.859,0.513
USR-6560,11.64,29.6,"[""Animation"", ""Comedy""]",10,0.865,0.412
USR-9963,4.86,38.54,"[""Drama""]",6,0.657,0.636
USR-7224,25.84,50.11,"[""Crime"", ""Romance"", ""Adventure"", ""Sci-Fi"", ""Mystery""]",22,0.771,0.511
USR-10183,4.82,29.9,"[""Comedy""]",5,0.236,0.7
USR-8335,26.02,53.64,,26,0.673,0.501
USR-1674,44.37,76.41,"[""Action"", ""Thriller""]",34,0.932,0.52
USR-3134,43.48,68.21,"[""Thriller"", ""Action"", ""Sci-Fi""]",14,0.862,0.499
USR-4282,9.48,21.21,"[""Animation"", ""Comedy""]",14,0.73,0.324
USR-1583,28.34,99.82,"[""Thriller"", ""Sci-Fi"", ""Action""]",30,0.84,0.39
USR-8938,25.32,45.64,"[""Drama"", ""Sci-Fi"", ""Adventure""]",26,0.834,0.5
USR-2403,28.92,112.0,"[""Thriller"", ""Action"", ""Sci-Fi""]",14,0.833,0.547
USR-3961,30.21,76.86,"[""Action"", ""Sci-Fi"", ""Thriller""]",14,0.792,0.489
USR-10852,1.57,31.85,"[""Comedy""]",5,0.305,0.689
USR-9427,2.61,34.7,"[""Comedy""]",6,0.38,0.891
USR-3276,48.03,80.93,"[""Sci-Fi"", ""Thriller"", ""Action""]",27,0.909,0.369
USR-1312,41.16,97.89,"[""Action"", ""Sci-Fi"", ""Thriller""]",23,0.896,0.521
USR-2157,42.83,94.05,"[""Sci-Fi"", ""Action"", ""Thriller"", ""Adventure""]",28,0.786,0.389
USR-10121,3.44,28.58,"[""Drama""]",6,0.482,0.695
USR-5230,12.28,,"[""Animation"", ""Comedy""]",25,0.784,0.31
USR-7244,26.09,37.81,"[""Romance"", ""Adventure"", ""Mystery"", ""Crime"", ""Documentary""]",32,0.725,0.454
USR-4354,12.93,34.08,"[""Comedy""]",18,0.784,0.358
USR-1107,48.17,54.03,"[""Thriller"", ""Action""]",33,0.954,0.51
USR-4870,7.07,15.79,"[""Animation"", ""Comedy""]",23,0.566,0.33
USR-4275,10.64,30.02,"[""Animation"", ""Comedy""]",18,0.694,0.407
USR-2278,38.08,95.15,"[""Thriller"", ""Action"", ""Sci-Fi""]",26,0.772,0.511
USR-7302,725.2737465678514,506.44332288332043,"[""Crime"", ""Adventure"", ""Drama"", ""Documentary"", ""Romance""]",24,0.784,0.372
USR-3942,44.92493401385547,77.35,"[""Thriller"", ""Action"", ""Adventure""]",27,0.776,0.352
USR-3424,22.69,62.59,"[""Sci-Fi"", ""Action"", ""Crime""]",27,0.813,0.406
USR-1374,40.48,85.12,"[""Action"", ""Sci-Fi""]",27,0.871,0.294
USR-5181,4.73,31.32,"[""Animation""]",19,0.611,0.397
USR-4024,52.86,103.02,"[""Thriller"", ""Sci-Fi"", ""Action""]",27,0.796,0.549
USR-5773,12.6,21.26,"[""Animation""]",16,0.619,0.433
USR-10795,1.97,26.36,"[""Family"", ""Comedy""]",7,0.407,0.698
USR-5554,7.78,17.43,"[""Animation"", ""Comedy"", ""Romance""]",29,0.444,0.39
USR-9989,3.25,31.75,"[""Comedy""]",5,0.107,0.842
USR-4152,31.54,121.84,"[""Thriller"", ""Action"", ""Sci-Fi"", ""Adventure""]",29,0.869,0.268
USR-6803,7.0,21.42,"[""Animation"", ""Romance""]",18,0.579,0.535
USR-10530,3.73,31.48,"[""Family""]",7,0.421,0.677
USR-9711,3.66,48.32,"[""Comedy""]",9,0.436,0.745
USR-7228,18.23,49.59,"[""Romance"", ""Crime"", ""Adventure"", ""Mystery""]",29,0.79,0.559
USR-4662,12.39,29.41,"[""Animation""]",20,0.563,0.277
USR-8842,19.16,60.28,"[""Drama"", ""Romance"", ""Documentary"", ""Crime"", ""Adventure""]",23,0.757,0.662
USR-8614,,70.24,"[""Drama"", ""Adventure"", ""Romance""]",25,0.85,0.427
USR-3110,36.82,87.97,"[""Thriller"", ""Sci-Fi""]",30,0.816,0.5
USR-4943,7.4,27.79,"[""Animation"", ""Romance""]",27,0.654,0.163
USR-1030,34.63,82.66,"[""Thriller"", ""Action""]",14,0.903,0.276
USR-6066,6.67,19.55,"[""Animation"", ""Comedy""]",20,0.612,0.385
USR-2348,37.14,128.42,"[""Action"", ""Sci-Fi""]",32,0.869,0.497
USR-3575,37.81,90.02,"[""Sci-Fi"", ""Thriller""]",23,0.904,0.392
USR-9404,4.27,33.27,,6,0.452,0.641
USR-8815,26.93,69.54,"[""Crime"", ""Adventure"", ""Documentary""]",27,0.637,0.319
USR-8536,24.16,44.84,"[""Adventure"", ""Romance"", ""Documentary"", ""Mystery""]",29,0.813,0.402
USR-3407,32.5,79.54,"[""Thriller"", ""Sci-Fi"", ""Action"", ""Crime""]",23,0.763,0.432
USR-9973,3.84,19.62,"[""Drama"", ""Family""]",8,0.475,0.84
USR-3317,36.97,118.31,"[""Sci-Fi"", ""Action"", ""Thriller""]",31,0.798,0.39
USR-4786,4.85,25.14,"[""Comedy""]",15,0.64,0.337
